feature,coefficient,absolute_coefficient
ocean_proximity_ISLAND,156065.71982235232,156065.71982235232
ocean_proximity_INLAND,-39766.39874440203,39766.39874440203
median_income,38760.447390677655,38760.447390677655
longitude,-26430.444663723698,26430.444663723698
latitude,-25173.279834263685,25173.279834263685
ocean_proximity_NEAR OCEAN,4758.753612263622,4758.753612263622
ocean_proximity_NEAR BAY,-3697.4016610918693,3697.4016610918693
housing_median_age,1057.8161309813668,1057.8161309813668
households,77.80441534839986,77.80441534839986
total_bedrooms,71.34494372079975,71.34494372079975
population,-39.28745553594055,39.28745553594055
total_rooms,-4.730582502621735,4.730582502621735
